127.0.0.1 - - [09/Jun/2018:17:17:53 -0400] "GET / HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [09/Jun/2018:17:25:41 -0400] "GET /event_manager HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Jun/2018:17:25:44 -0400] "GET /event_manager/ HTTP/1.1" 200 8133
0:0:0:0:0:0:0:1 - - [09/Jun/2018:17:25:44 -0400] "GET /event_manager/css/bootstrap.css HTTP/1.1" 200 178152
0:0:0:0:0:0:0:1 - - [09/Jun/2018:17:25:45 -0400] "GET /favicon.ico HTTP/1.1" 404 1084
0:0:0:0:0:0:0:1 - - [09/Jun/2018:17:25:52 -0400] "GET /event_manager/ HTTP/1.1" 200 8133
0:0:0:0:0:0:0:1 - - [09/Jun/2018:17:25:52 -0400] "GET /event_manager/css/bootstrap.css HTTP/1.1" 200 178152
0:0:0:0:0:0:0:1 - - [09/Jun/2018:17:25:52 -0400] "GET /favicon.ico HTTP/1.1" 404 1084
0:0:0:0:0:0:0:1 - - [09/Jun/2018:17:27:28 -0400] "GET /event_manager/ HTTP/1.1" 200 8133
0:0:0:0:0:0:0:1 - - [09/Jun/2018:17:27:28 -0400] "GET /event_manager/css/bootstrap.css HTTP/1.1" 200 178152
0:0:0:0:0:0:0:1 - - [09/Jun/2018:17:27:29 -0400] "GET /favicon.ico HTTP/1.1" 404 1084
0:0:0:0:0:0:0:1 - - [09/Jun/2018:17:28:03 -0400] "POST /event_manager/login HTTP/1.1" 200 8176
0:0:0:0:0:0:0:1 - - [09/Jun/2018:17:29:17 -0400] "POST /event_manager/login HTTP/1.1" 200 8176
0:0:0:0:0:0:0:1 - - [09/Jun/2018:17:29:17 -0400] "GET /event_manager/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jun/2018:17:32:07 -0400] "GET /event_manager/ HTTP/1.1" 200 8176
0:0:0:0:0:0:0:1 - - [09/Jun/2018:17:32:07 -0400] "GET /event_manager/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jun/2018:17:32:34 -0400] "POST /event_manager/register HTTP/1.1" 200 9673
0:0:0:0:0:0:0:1 - - [09/Jun/2018:17:32:36 -0400] "POST /event_manager/homepage HTTP/1.1" 200 8133
0:0:0:0:0:0:0:1 - - [09/Jun/2018:17:33:21 -0400] "POST /event_manager/register HTTP/1.1" 200 9673
0:0:0:0:0:0:0:1 - - [09/Jun/2018:17:33:46 -0400] "POST /event_manager/register HTTP/1.1" 200 8225
0:0:0:0:0:0:0:1 - - [09/Jun/2018:17:34:11 -0400] "POST /event_manager/login HTTP/1.1" 200 6570
0:0:0:0:0:0:0:1 - - [09/Jun/2018:17:34:29 -0400] "POST /event_manager/eventManager HTTP/1.1" 200 6530
